id,no,domain,raw_command,token_count,predicted_task_count,predicted_task_labels,predicted_task_segments,review_flag,manual_keep,manual_corrected_task_segments,manual_corrected_task_labels,manual_note,needs_review
CK-3703,1,temel_bilgisayar,şu açık pencereyi kenara al ama kapatma,7,1,TAŞI,TAŞI:açık pencereyi kenara al,riskli_ifade,1,açık pencereyi kenara al,TAŞI,,True
CK-3704,2,temel_bilgisayar,masaüstünde duran klasörü açmadan adının sonuna eski yaz,8,1,YAZ,YAZ:adının sonuna eski yaz,riskli_ifade,1,adının sonuna eski yaz,YAZ,,True
CK-3705,3,temel_bilgisayar,ayarlarda ses kısmına git ve seviyeyi 25 yap,8,2,GİT ; DEĞİŞTİR,GİT:ayarlarda ses kısmına git ; DEĞİŞTİR:seviyeyi 25 yap,riskli_ifade | kontrol_gereken_label,1,ayarlarda ses kısmına git ; seviyeyi 25 yap,GİT ; DEĞİŞTİR,,True
CK-3706,4,temel_bilgisayar,parlaklığı biraz değil direkt 45’e çek,6,1,KAYDIR,KAYDIR:direkt 45’e çek,riskli_ifade,1,direkt 45’e çek,KAYDIR,,True
CK-3707,5,temel_bilgisayar,hayır orası değil görev çubuğundaki arama yerine geç,8,1,GEÇ,GEÇ:arama yerine geç,riskli_ifade | kontrol_gereken_label,1,arama yerine geç,GEÇ,,True
CK-3708,6,temel_bilgisayar,ekrandaki metin çok ufak büyüteci bir tık aç,8,2,BÜYÜT ; AÇ,BÜYÜT:büyüteci ; AÇ:bir tık aç,,1,büyüteci ; bir tık aç,BÜYÜT ; AÇ,,False
CK-3709,7,temel_bilgisayar,şu bildirimi silme sadece gizle,5,1,DİĞER,DİĞER:gizle,riskli_ifade | kontrol_gereken_label,1,gizle,DİĞER,,True
CK-3710,8,temel_bilgisayar,açık olan pencereyi küçült sonra masaüstünü göster,7,2,KÜÇÜLT ; DİĞER,KÜÇÜLT:açık olan pencereyi küçült ; DİĞER:masaüstünü göster,riskli_ifade | kontrol_gereken_label,1,açık olan pencereyi küçült ; masaüstünü göster,KÜÇÜLT ; DİĞER,,True
CK-3711,9,temel_bilgisayar,imleç boyutunu büyük yapma orta ayara getir,7,2,GEÇ ; DİĞER,GEÇ:orta ayara ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,orta ayara ; getir,GEÇ ; DİĞER,,True
CK-3712,10,temel_bilgisayar,başlangıç menüsünde ekran klavyesini ara,5,1,ARA,ARA:ekran klavyesini ara,,1,ekran klavyesini ara,ARA,,False
CK-3713,11,temel_bilgisayar,şu dosyayı çöp kutusuna atma yedek klasörüne al,8,1,TAŞI,TAŞI:yedek klasörüne al,,1,yedek klasörüne al,TAŞI,,False
CK-3714,12,temel_bilgisayar,masaüstündeki boş yere tıkla ve yeni klasör oluştur,8,2,TIKLA ; YENİ_OLUŞTUR,TIKLA:boş yere tıkla ; YENİ_OLUŞTUR:yeni klasör oluştur,,1,boş yere tıkla ; yeni klasör oluştur,TIKLA ; YENİ_OLUŞTUR,,False
CK-3715,13,temel_bilgisayar,ekrandaki uyarının metnini kopyala sonra pencereyi kapat,7,2,KOPYALA ; KAPAT,KOPYALA:ekrandaki uyarının metnini kopyala ; KAPAT:pencereyi kapat,,1,ekrandaki uyarının metnini kopyala ; pencereyi kapat,KOPYALA ; KAPAT,,False
CK-3716,14,temel_bilgisayar,ayarlar penceresini kapatma erişilebilirlik bölümüne dön,6,1,GEÇ,GEÇ:erişilebilirlik bölümüne dön,riskli_ifade | kontrol_gereken_label,1,erişilebilirlik bölümüne dön,GEÇ,,True
CK-3717,15,temel_bilgisayar,bu pencereyi biraz aşağı taşı üst taraf görünsün,8,2,TAŞI ; DİĞER,TAŞI:bu pencereyi biraz aşağı taşı ; DİĞER:üst taraf görünsün,kontrol_gereken_label,1,bu pencereyi biraz aşağı taşı ; üst taraf görünsün,TAŞI ; DİĞER,,True
CK-3718,16,temel_bilgisayar,şey ses ayarını aç hoparlörü 30’a getir,7,2,AÇ ; GEÇ,AÇ:ses ayarını aç ; GEÇ:hoparlörü 30’a getir,riskli_ifade | kontrol_gereken_label,1,ses ayarını aç ; hoparlörü 30’a getir,AÇ ; GEÇ,,True
CK-3719,17,temel_bilgisayar,görev çubuğuna sabitli olmayan hesap makinesini bul,7,1,BUL,BUL:olmayan hesap makinesini bul,,1,olmayan hesap makinesini bul,BUL,,False
CK-3720,18,temel_bilgisayar,son açılan pencereye geç ve boyutunu biraz küçült,8,2,GEÇ ; KÜÇÜLT,GEÇ:açılan pencereye geç ; KÜÇÜLT:boyutunu biraz küçült,kontrol_gereken_label,1,açılan pencereye geç ; boyutunu biraz küçült,GEÇ ; KÜÇÜLT,,True
CK-3721,19,temel_bilgisayar,masaüstünü yenile sonra indirilenler klasörünü göster,6,2,YİNELE ; DİĞER,YİNELE:masaüstünü yenile ; DİĞER:indirilenler klasörünü göster,riskli_ifade | kontrol_gereken_label,1,masaüstünü yenile ; indirilenler klasörünü göster,YİNELE ; DİĞER,,True
CK-3722,20,temel_bilgisayar,bu kısayolun adını değiştirme sadece başka klasöre taşı,8,1,TAŞI,TAŞI:başka klasöre taşı,,1,başka klasöre taşı,TAŞI,,False
CK-3723,21,temel_bilgisayar,ekran parlaklığını düşürme gece ışığını aç,6,1,AÇ,AÇ:gece ışığını aç,,1,gece ışığını aç,AÇ,,False
CK-3724,22,temel_bilgisayar,açık uygulamalar arasında bir önceki pencereye dön,7,2,DİĞER ; GEÇ,DİĞER:açık uygulamalar arasında ; GEÇ:bir önceki pencereye dön,riskli_ifade | kontrol_gereken_label,1,açık uygulamalar arasında ; bir önceki pencereye dön,DİĞER ; GEÇ,,True
CK-3725,23,temel_bilgisayar,şu küçük kutuyu büyütme yanındaki seçenekleri göster,7,1,DİĞER,DİĞER:yanındaki seçenekleri göster,riskli_ifade | kontrol_gereken_label,1,yanındaki seçenekleri göster,DİĞER,,True
CK-3726,24,temel_bilgisayar,masaüstündeki dağınık simgeleri ada göre sırala,6,1,DİĞER,DİĞER:dağınık simgeleri ada göre sırala,kontrol_gereken_label,1,dağınık simgeleri ada göre sırala,DİĞER,,True
CK-3727,25,temel_bilgisayar,ayarlarda fare hızını 6 yap,5,1,DEĞİŞTİR,DEĞİŞTİR:fare hızını 6 yap,kontrol_gereken_label,1,fare hızını 6 yap,DEĞİŞTİR,,True
CK-3728,26,temel_bilgisayar,bildirim merkezini aç ve sessiz olanları listele,7,2,AÇ ; DİĞER,AÇ:bildirim merkezini aç ; DİĞER:sessiz olanları listele,riskli_ifade | kontrol_gereken_label,1,bildirim merkezini aç ; sessiz olanları listele,AÇ ; DİĞER,,True
CK-3729,27,temel_bilgisayar,yanlış oldu arama kutusuna değil dosya gezginine geç,8,1,GEÇ,GEÇ:dosya gezginine geç,riskli_ifade | kontrol_gereken_label,1,dosya gezginine geç,GEÇ,,True
CK-3730,28,temel_bilgisayar,açık pencereyi tam ekran yapma sadece biraz büyüt,8,1,BÜYÜT,BÜYÜT:biraz büyüt,,1,biraz büyüt,BÜYÜT,,False
CK-3731,29,temel_bilgisayar,seçili dosyanın adını kopyala ama dosyayı açma,7,1,KOPYALA,KOPYALA:seçili dosyanın adını kopyala,riskli_ifade,1,seçili dosyanın adını kopyala,KOPYALA,,True
CK-3732,30,temel_bilgisayar,bu ekran görüntüsünü kaydetme panoya al,6,1,TAŞI,TAŞI:panoya al,,1,panoya al,TAŞI,,False
CK-3733,31,temel_bilgisayar,klasördeki son indirilen öğeyi bul ve klasörde göster,8,2,BUL ; TIKLA,BUL:son indirilen öğeyi bul ; TIKLA:klasörde göster,riskli_ifade,1,son indirilen öğeyi bul ; klasörde göster,BUL ; TIKLA,,True
CK-3734,32,temel_bilgisayar,ses seviyesi fazla gelirse 15’e indir,6,1,AZALT,AZALT:15’e indir,,1,15’e indir,AZALT,,False
CK-3735,33,temel_bilgisayar,şu boş alana bir boşluk bırak sonra bekle,8,2,BOŞLUK ; DİĞER,BOŞLUK:şu boş alana bir boşluk bırak ; DİĞER:bekle,kontrol_gereken_label,1,şu boş alana bir boşluk bırak ; bekle,BOŞLUK ; DİĞER,,True
CK-3736,34,temel_bilgisayar,başlat menüsündeki aramayı temizle ve ayarlar yaz,7,2,SİL ; YAZ,SİL:başlat menüsündeki aramayı temizle ; YAZ:ayarlar yaz,riskli_ifade,1,başlat menüsündeki aramayı temizle ; ayarlar yaz,SİL ; YAZ,,True
CK-3737,35,temel_bilgisayar,masaüstündeki eski notu sil ama klasörü elleme,7,1,SİL,SİL:eski notu sil,riskli_ifade,1,eski notu sil,SİL,,True
CK-3738,36,temel_bilgisayar,o pencereyi kapatmadan arka plandaki pencereye geç,7,1,GEÇ,GEÇ:arka plandaki pencereye geç,riskli_ifade | kontrol_gereken_label,1,arka plandaki pencereye geç,GEÇ,,True
CK-3739,37,temel_bilgisayar,ekran okuyucunun sesini hızlandırma sadece seviyesini azalt,7,1,AZALT,AZALT:seviyesini azalt,,1,seviyesini azalt,AZALT,,False
CK-3740,38,temel_bilgisayar,görev çubuğundan takvimi göster ve bugünün tarihini seç,8,2,DİĞER ; SEÇ,DİĞER:takvimi göster ; SEÇ:bugünün tarihini seç,riskli_ifade | kontrol_gereken_label,1,takvimi göster ; bugünün tarihini seç,DİĞER ; SEÇ,,True
CK-3741,39,temel_bilgisayar,bu simgeye tıklama yanındaki klasörü aç,6,1,AÇ,AÇ:yanındaki klasörü aç,riskli_ifade,1,yanındaki klasörü aç,AÇ,,True
CK-3742,40,temel_bilgisayar,imleci arama alanına götür ve orada bırak,7,1,GİT,GİT:imleci arama alanına götür,riskli_ifade | kontrol_gereken_label,1,imleci arama alanına götür,GİT,,True
CK-3743,41,temel_bilgisayar,yeni bir metin belgesi oluştur adını kısa_not yap,8,2,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,YENİ_OLUŞTUR:yeni bir metin belgesi oluştur ; YENİDEN_ADLANDIR:adını kısa_not yap,kontrol_gereken_label,1,yeni bir metin belgesi oluştur ; adını kısa_not yap,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,,True
CK-3744,42,temel_bilgisayar,klasör adının başına arşiv ekle uzantıları değiştirme,7,1,YAZ,YAZ:klasör adının başına arşiv ekle,riskli_ifade,1,klasör adının başına arşiv ekle,YAZ,,True
CK-3745,43,temel_bilgisayar,ekran ölçeğini 125 yap sonra açık pencereye dön,8,2,DEĞİŞTİR ; GEÇ,DEĞİŞTİR:ekran ölçeğini 125 yap ; GEÇ:açık pencereye dön,riskli_ifade | kontrol_gereken_label,1,ekran ölçeğini 125 yap ; açık pencereye dön,DEĞİŞTİR ; GEÇ,,True
CK-3746,44,temel_bilgisayar,bu uyarıyı kapatma önce ayrıntılarını göster,6,1,DİĞER,DİĞER:ayrıntılarını göster,riskli_ifade | kontrol_gereken_label,1,ayrıntılarını göster,DİĞER,,True
CK-3747,45,temel_bilgisayar,masaüstündeki geçici dosyayı sil sonra çöp kutusunu boşaltma,8,1,SİL,SİL:masaüstündeki geçici dosyayı sil,,1,masaüstündeki geçici dosyayı sil,SİL,,False
CK-3748,46,temel_bilgisayar,ayarlarda klavye bölümüne git tekrarlama hızını azalt,7,2,GİT ; AZALT,GİT:klavye bölümüne git ; AZALT:tekrarlama hızını azalt,riskli_ifade | kontrol_gereken_label,1,klavye bölümüne git ; tekrarlama hızını azalt,GİT ; AZALT,,True
CK-3749,47,temel_bilgisayar,pencereyi sağ kenara yasla ama tam ekran yapma,8,1,KAYDIR,KAYDIR:pencereyi sağ kenara yasla,riskli_ifade,1,pencereyi sağ kenara yasla,KAYDIR,,True
CK-3750,48,temel_bilgisayar,şu açık listeyi aşağı indir en sondaki öğeyi göster,9,2,KAYDIR ; DİĞER,KAYDIR:açık listeyi aşağı indir ; DİĞER:en sondaki öğeyi göster,riskli_ifade | kontrol_gereken_label,1,açık listeyi aşağı indir ; en sondaki öğeyi göster,KAYDIR ; DİĞER,,True
CK-3751,49,temel_bilgisayar,bilgisayarı kapatma sadece oturumu kilitle,5,1,DİĞER,DİĞER:oturumu kilitle,riskli_ifade | kontrol_gereken_label,1,oturumu kilitle,DİĞER,,True
CK-3752,50,temel_bilgisayar,son kullandığım klasörü aç ve görünümü listeye çevir,8,2,AÇ ; DEĞİŞTİR,AÇ:kullandığım klasörü aç ; DEĞİŞTİR:görünümü listeye çevir,kontrol_gereken_label,1,kullandığım klasörü aç ; görünümü listeye çevir,AÇ ; DEĞİŞTİR,,True
CK-3753,51,tarayıcı_internet,internet sayfasında arama kutusuna sınav takvimi yaz ama ilk sonuca basma,11,1,YAZ,YAZ:arama kutusuna sınav takvimi yaz,riskli_ifade,1,arama kutusuna sınav takvimi yaz,YAZ,,True
CK-3754,52,tarayıcı_internet,öbür sekmeye geç ve sayfanın başına dön,7,2,SEKME_DEĞİŞTİR ; GEÇ,SEKME_DEĞİŞTİR:öbür sekmeye geç ; GEÇ:sayfanın başına dön,kontrol_gereken_label,1,öbür sekmeye geç ; sayfanın başına dön,SEKME_DEĞİŞTİR ; GEÇ,,True
CK-3755,53,tarayıcı_internet,bu sekmeyi kapatma sadece yenile,5,1,YİNELE,YİNELE:yenile,riskli_ifade,1,yenile,YİNELE,,True
CK-3756,54,tarayıcı_internet,sayfadaki indirme bağlantısını bulup adresini kopyala,6,2,BUL ; KOPYALA,BUL:sayfadaki indirme bağlantısını bulup ; KOPYALA:adresini kopyala,,1,sayfadaki indirme bağlantısını bulup ; adresini kopyala,BUL ; KOPYALA,,False
CK-3757,55,tarayıcı_internet,yeni sekme açmadan mevcut sayfada duyuru ara,7,1,ARA,ARA:mevcut sayfada duyuru ara,riskli_ifade,1,mevcut sayfada duyuru ara,ARA,,True
CK-3758,56,tarayıcı_internet,yanlış oldu geri dön önceki sayfaya git,7,2,GEÇ ; GİT,GEÇ:geri dön ; GİT:önceki sayfaya git,kontrol_gereken_label,1,geri dön ; önceki sayfaya git,GEÇ ; GİT,,True
CK-3759,57,tarayıcı_internet,sağdaki sekmeye değil soldaki sekmeye geç,6,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:soldaki sekmeye geç,riskli_ifade | kontrol_gereken_label,1,soldaki sekmeye geç,SEKME_DEĞİŞTİR,,True
CK-3760,58,tarayıcı_internet,pdf açıldıysa dosyayı tekrar indirme klasörde göster,7,1,TIKLA,TIKLA:klasörde göster,riskli_ifade,1,klasörde göster,TIKLA,,True
CK-3761,59,tarayıcı_internet,arama sonucundaki ikinci bağlantıya tıklamadan metnini seç,7,1,SEÇ,SEÇ:metnini seç,riskli_ifade,1,metnini seç,SEÇ,,True
CK-3762,60,tarayıcı_internet,sayfayı biraz aşağı kaydır formun devamı görünsün,7,2,KAYDIR ; DİĞER,KAYDIR:sayfayı biraz aşağı kaydır ; DİĞER:formun devamı görünsün,kontrol_gereken_label,1,sayfayı biraz aşağı kaydır ; formun devamı görünsün,KAYDIR ; DİĞER,,True
CK-3763,61,tarayıcı_internet,bu siteyi yer imlerine ekle adını ders linkleri yap,9,2,YÜKLE ; YENİDEN_ADLANDIR,YÜKLE:yer imlerine ekle ; YENİDEN_ADLANDIR:adını ders linkleri yap,kontrol_gereken_label,1,yer imlerine ekle ; adını ders linkleri yap,YÜKLE ; YENİDEN_ADLANDIR,,True
CK-3764,62,tarayıcı_internet,adres çubuğundaki eski yazıyı sil yeni adresi yapıştır,8,2,SİL ; YAPIŞTIR,SİL:adres çubuğundaki eski yazıyı sil ; YAPIŞTIR:yeni adresi yapıştır,,1,adres çubuğundaki eski yazıyı sil ; yeni adresi yapıştır,SİL ; YAPIŞTIR,,False
CK-3765,63,tarayıcı_internet,indirme başlamadıysa düğmeye bir kez daha tıkla,7,1,TIKLA,TIKLA:düğmeye bir kez daha tıkla,riskli_ifade,1,düğmeye bir kez daha tıkla,TIKLA,,True
CK-3766,64,tarayıcı_internet,sekmeleri karıştırdım toplantı sekmesine dön,5,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:toplantı sekmesine dön,kontrol_gereken_label,1,toplantı sekmesine dön,SEKME_DEĞİŞTİR,,True
CK-3767,65,tarayıcı_internet,açık sayfada iletişim kısmını ara ve oraya git,8,2,ARA ; GİT,ARA:iletişim kısmını ara ; GİT:oraya git,kontrol_gereken_label,1,iletişim kısmını ara ; oraya git,ARA ; GİT,,True
CK-3768,66,tarayıcı_internet,reklamı kapatma asıl sayfayı yenile,5,1,YİNELE,YİNELE:asıl sayfayı yenile,riskli_ifade,1,asıl sayfayı yenile,YİNELE,,True
CK-3769,67,tarayıcı_internet,dosyayı indir ama açılır pencere çıkarsa iptal etme,8,1,İNDİR,İNDİR:dosyayı indir,riskli_ifade,1,dosyayı indir,İNDİR,,True
CK-3770,68,tarayıcı_internet,tarayıcıda geçmişe girme sadece son kapatılan sekmeyi geri getir,9,1,DİĞER,DİĞER:son kapatılan sekmeyi geri getir,riskli_ifade | kontrol_gereken_label,1,son kapatılan sekmeyi geri getir,DİĞER,,True
CK-3771,69,tarayıcı_internet,sayfanın üstündeki menüyü göster ve başvurular kısmına geç,8,2,TIKLA ; GEÇ,TIKLA:sayfanın üstündeki menüyü göster ; GEÇ:başvurular kısmına geç,riskli_ifade | kontrol_gereken_label,1,sayfanın üstündeki menüyü göster ; başvurular kısmına geç,TIKLA ; GEÇ,,True
CK-3772,70,tarayıcı_internet,bu bağlantıyı açmadan yeni sekmede hazır beklet,7,2,SEKME_DEĞİŞTİR ; DİĞER,SEKME_DEĞİŞTİR:yeni sekmede ; DİĞER:hazır beklet,riskli_ifade | kontrol_gereken_label,1,yeni sekmede ; hazır beklet,SEKME_DEĞİŞTİR ; DİĞER,,True
CK-3773,71,tarayıcı_internet,arama alanına hata kodunu yaz enter basma,7,2,YAZ ; ENTER,YAZ:arama alanına hata kodunu yaz ; ENTER:enter basma,riskli_ifade,1,arama alanına hata kodunu yaz ; enter basma,YAZ ; ENTER,,True
CK-3774,72,tarayıcı_internet,indirilen pdfin adını değiştirme sadece indirme klasöründe göster,8,1,TIKLA,TIKLA:indirme klasöründe göster,riskli_ifade,1,indirme klasöründe göster,TIKLA,,True
CK-3775,73,tarayıcı_internet,sayfanın dilini değiştirme yazıları biraz büyüt,6,1,BÜYÜT,BÜYÜT:yazıları biraz büyüt,,1,yazıları biraz büyüt,BÜYÜT,,False
CK-3776,74,tarayıcı_internet,önceki sekmeye dön ve aramayı tekrar yap,7,2,SEKME_DEĞİŞTİR ; YİNELE,SEKME_DEĞİŞTİR:önceki sekmeye dön ; YİNELE:aramayı tekrar yap,riskli_ifade | kontrol_gereken_label,1,önceki sekmeye dön ; aramayı tekrar yap,SEKME_DEĞİŞTİR ; YİNELE,,True
CK-3777,75,tarayıcı_internet,açık olan internet sayfasında tabloyu bul aşağı kaydır,8,2,BUL ; KAYDIR,BUL:açık olan internet sayfasında tabloyu bul ; KAYDIR:aşağı kaydır,,1,açık olan internet sayfasında tabloyu bul ; aşağı kaydır,BUL ; KAYDIR,,False
CK-3778,76,tarayıcı_internet,bu formu gönderme sadece taslakta bırak,6,1,BOŞLUK,BOŞLUK:bırak,riskli_ifade | kontrol_gereken_label,1,bırak,BOŞLUK,,True
CK-3779,77,tarayıcı_internet,linki kopyala sonra not alanına yapıştır,6,2,KOPYALA ; YAPIŞTIR,KOPYALA:linki kopyala ; YAPIŞTIR:not alanına yapıştır,,1,linki kopyala ; not alanına yapıştır,KOPYALA ; YAPIŞTIR,,False
CK-3780,78,tarayıcı_internet,sekmeyi yenilemeden adres çubuğuna yeni sorguyu yaz,7,1,YAZ,YAZ:adres çubuğuna yeni sorguyu yaz,,1,adres çubuğuna yeni sorguyu yaz,YAZ,,False
CK-3781,79,tarayıcı_internet,sayfanın en altına git gizlilik bağlantısını bul,7,2,GİT ; BUL,GİT:sayfanın en altına git ; BUL:gizlilik bağlantısını bul,kontrol_gereken_label,1,sayfanın en altına git ; gizlilik bağlantısını bul,GİT ; BUL,,True
CK-3782,80,tarayıcı_internet,indirme simgesine değil yanındaki ayrıntılar yazısına tıkla,7,1,TIKLA,TIKLA:yanındaki ayrıntılar yazısına tıkla,riskli_ifade,1,yanındaki ayrıntılar yazısına tıkla,TIKLA,,True
CK-3783,81,tarayıcı_internet,tarayıcıda açık olan üçüncü sekmeye geç,6,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:üçüncü sekmeye geç,kontrol_gereken_label,1,üçüncü sekmeye geç,SEKME_DEĞİŞTİR,,True
CK-3784,82,tarayıcı_internet,bu sayfadaki sonuçları tarihe göre sırala,6,1,DİĞER,DİĞER:sonuçları tarihe göre sırala,kontrol_gereken_label,1,sonuçları tarihe göre sırala,DİĞER,,True
CK-3785,83,tarayıcı_internet,pdf görüntüleyicide sayfayı küçültme sadece sonraki sayfaya geç,8,1,GEÇ,GEÇ:sonraki sayfaya geç,kontrol_gereken_label,1,sonraki sayfaya geç,GEÇ,,True
CK-3786,84,tarayıcı_internet,arama önerilerini kapat ve yazdığım metni temizle,7,2,KAPAT ; SİL,KAPAT:arama önerilerini kapat ; SİL:yazdığım metni temizle,riskli_ifade,1,arama önerilerini kapat ; yazdığım metni temizle,KAPAT ; SİL,,True
CK-3787,85,tarayıcı_internet,bağlantıyı yeni pencerede değil aynı sekmede aç,7,1,AÇ,AÇ:aynı sekmede aç,riskli_ifade,1,aynı sekmede aç,AÇ,,True
CK-3788,86,tarayıcı_internet,o düğmeye basma sayfanın altında ek dosya var onu indir,10,1,İNDİR,İNDİR:onu indir,,1,onu indir,İNDİR,,False
CK-3789,87,tarayıcı_internet,açık sekmeleri listele ve içinde başvuru geçeni bul,8,2,DİĞER ; BUL,DİĞER:açık sekmeleri listele ; BUL:içinde başvuru geçeni bul,riskli_ifade | kontrol_gereken_label,1,açık sekmeleri listele ; içinde başvuru geçeni bul,DİĞER ; BUL,,True
CK-3790,88,tarayıcı_internet,sayfayı yukarı kaydır başlığı tekrar görmek istiyorum,7,2,KAYDIR ; YİNELE,KAYDIR:sayfayı yukarı kaydır ; YİNELE:başlığı tekrar görmek istiyorum,,1,sayfayı yukarı kaydır ; başlığı tekrar görmek istiyorum,KAYDIR ; YİNELE,,False
CK-3791,89,tarayıcı_internet,şuradaki captcha alanına dokunma devam butonuna tıkla,7,1,TIKLA,TIKLA:devam butonuna tıkla,,1,devam butonuna tıkla,TIKLA,,False
CK-3792,90,tarayıcı_internet,web sayfasını yazdırma görünümüne getir ama yazdırma,7,3,DİĞER ; GEÇ ; DİĞER,DİĞER:web sayfasını yazdırma ; GEÇ:görünümüne ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,web sayfasını yazdırma ; görünümüne ; getir,DİĞER ; GEÇ ; DİĞER,,True
CK-3793,91,tarayıcı_internet,yanlış sayfa açıldı geri git ve aramayı yinele,8,2,GİT ; YİNELE,GİT:geri git ; YİNELE:aramayı yinele,riskli_ifade | kontrol_gereken_label,1,geri git ; aramayı yinele,GİT ; YİNELE,,True
CK-3794,92,tarayıcı_internet,tarayıcıdaki büyütmeyi 100 yap sonra sayfayı yenile,7,2,BÜYÜT ; YİNELE,BÜYÜT:tarayıcıdaki büyütmeyi 100 yap ; YİNELE:sayfayı yenile,,1,tarayıcıdaki büyütmeyi 100 yap ; sayfayı yenile,BÜYÜT ; YİNELE,,False
CK-3795,93,tarayıcı_internet,ilk sonucu açma sadece bağlantıyı panoya kopyala,7,1,KOPYALA,KOPYALA:bağlantıyı panoya kopyala,riskli_ifade,1,bağlantıyı panoya kopyala,KOPYALA,,True
CK-3796,94,tarayıcı_internet,yeni sekmede açılan pdfi indir ve sekmeyi açık bırak,9,3,AÇ ; İNDİR ; DİĞER,AÇ:yeni sekmede açılan ; İNDİR:pdfi indir ; DİĞER:sekmeyi açık bırak,kontrol_gereken_label,1,yeni sekmede açılan ; pdfi indir ; sekmeyi açık bırak,AÇ ; İNDİR ; DİĞER,,True
CK-3797,95,tarayıcı_internet,bu sitede öğrenci işleri yazıp ara,6,2,YAZ ; ARA,YAZ:öğrenci işleri yazıp ; ARA:ara,,1,öğrenci işleri yazıp ; ara,YAZ ; ARA,,False
CK-3798,96,tarayıcı_internet,sayfadaki bütün metni seçme yalnızca başlığı kopyala,7,1,KOPYALA,KOPYALA:başlığı kopyala,,1,başlığı kopyala,KOPYALA,,False
CK-3799,97,tarayıcı_internet,sekmeyi kapatmadan sol taraftaki haber sekmesine geç,7,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:sol taraftaki haber sekmesine geç,riskli_ifade | kontrol_gereken_label,1,sol taraftaki haber sekmesine geç,SEKME_DEĞİŞTİR,,True
CK-3800,98,tarayıcı_internet,adres çubuğuna odaklan eski adresi silmeden sonuna ekleme yap,9,2,SEÇ ; DİĞER,SEÇ:çubuğuna odaklan ; DİĞER:sonuna ekleme yap,riskli_ifade | kontrol_gereken_label,1,çubuğuna odaklan ; sonuna ekleme yap,SEÇ ; DİĞER,,True
CK-3801,99,tarayıcı_internet,indirme çubuğunu göster tamamlanan dosyayı klasörde aç,7,2,DİĞER ; AÇ,DİĞER:indirme çubuğunu göster ; AÇ:tamamlanan dosyayı klasörde aç,riskli_ifade | kontrol_gereken_label,1,indirme çubuğunu göster ; tamamlanan dosyayı klasörde aç,DİĞER ; AÇ,,True
CK-3802,100,tarayıcı_internet,sayfa donduysa yenile ama formdaki yazıları silme,7,1,YİNELE,YİNELE:yenile,riskli_ifade,1,yenile,YİNELE,,True
CK-3803,101,ofis_metin_düzenleme,açık olan belgede başlığı bul ve fontu 14 yap,9,2,BUL ; DEĞİŞTİR,BUL:açık olan belgede başlığı bul ; DEĞİŞTİR:fontu 14 yap,kontrol_gereken_label,1,açık olan belgede başlığı bul ; fontu 14 yap,BUL ; DEĞİŞTİR,,True
CK-3804,102,ofis_metin_düzenleme,seçili cümleyi kesme sadece rengini gri yap,7,1,DEĞİŞTİR,DEĞİŞTİR:rengini gri yap,kontrol_gereken_label,1,rengini gri yap,DEĞİŞTİR,,True
CK-3805,103,ofis_metin_düzenleme,Word'de son paragrafın altına boş satır ekle,7,1,BOŞLUK,BOŞLUK:son paragrafın altına boş satır ekle,kontrol_gereken_label,1,son paragrafın altına boş satır ekle,BOŞLUK,,True
CK-3806,104,ofis_metin_düzenleme,tabloyu seçmeden toplam satırını bul,5,1,BUL,BUL:toplam satırını bul,,1,toplam satırını bul,BUL,,False
CK-3807,105,ofis_metin_düzenleme,Excel'de hücre içindeki fazla boşluğu sil,6,1,SİL,SİL:hücre içindeki fazla boşluğu sil,,1,hücre içindeki fazla boşluğu sil,SİL,,False
