id,no,domain,raw_command,token_count,predicted_task_count,predicted_task_labels,predicted_task_segments,review_flag,manual_keep,manual_corrected_task_segments,manual_corrected_task_labels,manual_note,needs_review
CK-3703,1,temel_bilgisayar,şu açık pencereyi kenara al ama kapatma,7,1,TAŞI,TAŞI:açık pencereyi kenara al,riskli_ifade,1,açık pencereyi kenara al,TAŞI,assistant_reviewed_no_change,True
CK-3704,2,temel_bilgisayar,masaüstünde duran klasörü açmadan adının sonuna eski yaz,8,1,YAZ,YAZ:adının sonuna eski yaz,riskli_ifade,1,adının sonuna eski yaz,YENİDEN_ADLANDIR,YAZ yerine YENİDEN_ADLANDIR olarak düzeltildi.,True
CK-3705,3,temel_bilgisayar,ayarlarda ses kısmına git ve seviyeyi 25 yap,8,2,GİT ; DEĞİŞTİR,GİT:ayarlarda ses kısmına git ; DEĞİŞTİR:seviyeyi 25 yap,riskli_ifade | kontrol_gereken_label,1,ayarlarda ses kısmına git ; seviyeyi 25 yap,GİT ; DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3706,4,temel_bilgisayar,parlaklığı biraz değil direkt 45’e çek,6,1,KAYDIR,KAYDIR:direkt 45’e çek,riskli_ifade,1,parlaklığı biraz değil direkt 45’e çek,DEĞİŞTİR,Parlaklık değeri ayarlama olduğu için DEĞİŞTİR.,True
CK-3707,5,temel_bilgisayar,hayır orası değil görev çubuğundaki arama yerine geç,8,1,GEÇ,GEÇ:arama yerine geç,riskli_ifade | kontrol_gereken_label,1,arama yerine geç,GEÇ,assistant_reviewed_no_change,True
CK-3709,7,temel_bilgisayar,şu bildirimi silme sadece gizle,5,1,DİĞER,DİĞER:gizle,riskli_ifade | kontrol_gereken_label,1,gizle,DİĞER,assistant_reviewed_no_change,True
CK-3710,8,temel_bilgisayar,açık olan pencereyi küçült sonra masaüstünü göster,7,2,KÜÇÜLT ; DİĞER,KÜÇÜLT:açık olan pencereyi küçült ; DİĞER:masaüstünü göster,riskli_ifade | kontrol_gereken_label,1,açık olan pencereyi küçült ; masaüstünü göster,KÜÇÜLT ; DİĞER,assistant_reviewed_no_change,True
CK-3711,9,temel_bilgisayar,imleç boyutunu büyük yapma orta ayara getir,7,2,GEÇ ; DİĞER,GEÇ:orta ayara ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,imleç boyutunu büyük yapma orta ayara getir,DEĞİŞTİR,İmleç boyutu ayarı değiştirme görevi.,True
CK-3716,14,temel_bilgisayar,ayarlar penceresini kapatma erişilebilirlik bölümüne dön,6,1,GEÇ,GEÇ:erişilebilirlik bölümüne dön,riskli_ifade | kontrol_gereken_label,1,erişilebilirlik bölümüne dön,GEÇ,assistant_reviewed_no_change,True
CK-3717,15,temel_bilgisayar,bu pencereyi biraz aşağı taşı üst taraf görünsün,8,2,TAŞI ; DİĞER,TAŞI:bu pencereyi biraz aşağı taşı ; DİĞER:üst taraf görünsün,kontrol_gereken_label,1,bu pencereyi biraz aşağı taşı,TAŞI,Açıklama kısmı görevden çıkarıldı.,True
CK-3718,16,temel_bilgisayar,şey ses ayarını aç hoparlörü 30’a getir,7,2,AÇ ; GEÇ,AÇ:ses ayarını aç ; GEÇ:hoparlörü 30’a getir,riskli_ifade | kontrol_gereken_label,1,ses ayarını aç ; hoparlörü 30’a getir,AÇ ; DEĞİŞTİR,Hoparlör seviyesini 30 yapma DEĞİŞTİR.,True
CK-3720,18,temel_bilgisayar,son açılan pencereye geç ve boyutunu biraz küçült,8,2,GEÇ ; KÜÇÜLT,GEÇ:açılan pencereye geç ; KÜÇÜLT:boyutunu biraz küçült,kontrol_gereken_label,1,son açılan pencereye geç ; boyutunu biraz küçült,GEÇ ; KÜÇÜLT,Baştaki son belirteci segmente dahil edildi.,True
CK-3721,19,temel_bilgisayar,masaüstünü yenile sonra indirilenler klasörünü göster,6,2,YİNELE ; DİĞER,YİNELE:masaüstünü yenile ; DİĞER:indirilenler klasörünü göster,riskli_ifade | kontrol_gereken_label,1,masaüstünü yenile ; indirilenler klasörünü göster,YİNELE ; DİĞER,assistant_reviewed_no_change,True
CK-3724,22,temel_bilgisayar,açık uygulamalar arasında bir önceki pencereye dön,7,2,DİĞER ; GEÇ,DİĞER:açık uygulamalar arasında ; GEÇ:bir önceki pencereye dön,riskli_ifade | kontrol_gereken_label,1,bir önceki pencereye dön,GEÇ,Açık uygulamalar arasında ifadesi bağlam olarak bırakıldı.,True
CK-3725,23,temel_bilgisayar,şu küçük kutuyu büyütme yanındaki seçenekleri göster,7,1,DİĞER,DİĞER:yanındaki seçenekleri göster,riskli_ifade | kontrol_gereken_label,1,yanındaki seçenekleri göster,DİĞER,assistant_reviewed_no_change,True
CK-3726,24,temel_bilgisayar,masaüstündeki dağınık simgeleri ada göre sırala,6,1,DİĞER,DİĞER:dağınık simgeleri ada göre sırala,kontrol_gereken_label,1,dağınık simgeleri ada göre sırala,DİĞER,assistant_reviewed_no_change,True
CK-3727,25,temel_bilgisayar,ayarlarda fare hızını 6 yap,5,1,DEĞİŞTİR,DEĞİŞTİR:fare hızını 6 yap,kontrol_gereken_label,1,fare hızını 6 yap,DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3728,26,temel_bilgisayar,bildirim merkezini aç ve sessiz olanları listele,7,2,AÇ ; DİĞER,AÇ:bildirim merkezini aç ; DİĞER:sessiz olanları listele,riskli_ifade | kontrol_gereken_label,1,bildirim merkezini aç ; sessiz olanları listele,AÇ ; DİĞER,assistant_reviewed_no_change,True
CK-3729,27,temel_bilgisayar,yanlış oldu arama kutusuna değil dosya gezginine geç,8,1,GEÇ,GEÇ:dosya gezginine geç,riskli_ifade | kontrol_gereken_label,1,dosya gezginine geç,GEÇ,assistant_reviewed_no_change,True
CK-3731,29,temel_bilgisayar,seçili dosyanın adını kopyala ama dosyayı açma,7,1,KOPYALA,KOPYALA:seçili dosyanın adını kopyala,riskli_ifade,1,seçili dosyanın adını kopyala,KOPYALA,assistant_reviewed_no_change,True
CK-3733,31,temel_bilgisayar,klasördeki son indirilen öğeyi bul ve klasörde göster,8,2,BUL ; TIKLA,BUL:son indirilen öğeyi bul ; TIKLA:klasörde göster,riskli_ifade,1,son indirilen öğeyi bul ; klasörde göster,BUL ; DİĞER,Klasörde göster TIKLA değil DİĞER.,True
CK-3735,33,temel_bilgisayar,şu boş alana bir boşluk bırak sonra bekle,8,2,BOŞLUK ; DİĞER,BOŞLUK:şu boş alana bir boşluk bırak ; DİĞER:bekle,kontrol_gereken_label,1,şu boş alana bir boşluk bırak ; bekle,BOŞLUK ; DİĞER,Bekle ifadesi ikinci DİĞER görev olarak korundu.,True
CK-3736,34,temel_bilgisayar,başlat menüsündeki aramayı temizle ve ayarlar yaz,7,2,SİL ; YAZ,SİL:başlat menüsündeki aramayı temizle ; YAZ:ayarlar yaz,riskli_ifade,1,başlat menüsündeki aramayı temizle ; ayarlar yaz,SİL ; YAZ,assistant_reviewed_no_change,True
CK-3737,35,temel_bilgisayar,masaüstündeki eski notu sil ama klasörü elleme,7,1,SİL,SİL:eski notu sil,riskli_ifade,1,eski notu sil,SİL,assistant_reviewed_no_change,True
CK-3738,36,temel_bilgisayar,o pencereyi kapatmadan arka plandaki pencereye geç,7,1,GEÇ,GEÇ:arka plandaki pencereye geç,riskli_ifade | kontrol_gereken_label,1,arka plandaki pencereye geç,GEÇ,assistant_reviewed_no_change,True
CK-3740,38,temel_bilgisayar,görev çubuğundan takvimi göster ve bugünün tarihini seç,8,2,DİĞER ; SEÇ,DİĞER:takvimi göster ; SEÇ:bugünün tarihini seç,riskli_ifade | kontrol_gereken_label,1,takvimi göster ; bugünün tarihini seç,DİĞER ; SEÇ,Takvimi göster DİĞER.,True
CK-3741,39,temel_bilgisayar,bu simgeye tıklama yanındaki klasörü aç,6,1,AÇ,AÇ:yanındaki klasörü aç,riskli_ifade,1,yanındaki klasörü aç,AÇ,assistant_reviewed_no_change,True
CK-3742,40,temel_bilgisayar,imleci arama alanına götür ve orada bırak,7,1,GİT,GİT:imleci arama alanına götür,riskli_ifade | kontrol_gereken_label,1,imleci arama alanına götür,GİT,assistant_reviewed_no_change,True
CK-3743,41,temel_bilgisayar,yeni bir metin belgesi oluştur adını kısa_not yap,8,2,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,YENİ_OLUŞTUR:yeni bir metin belgesi oluştur ; YENİDEN_ADLANDIR:adını kısa_not yap,kontrol_gereken_label,1,yeni bir metin belgesi oluştur ; adını kısa_not yap,YENİ_OLUŞTUR ; YENİDEN_ADLANDIR,assistant_reviewed_no_change,True
CK-3744,42,temel_bilgisayar,klasör adının başına arşiv ekle uzantıları değiştirme,7,1,YAZ,YAZ:klasör adının başına arşiv ekle,riskli_ifade,1,klasör adının başına arşiv ekle,YENİDEN_ADLANDIR,Dosya/klasör adına ekleme yeniden adlandırma.,True
CK-3745,43,temel_bilgisayar,ekran ölçeğini 125 yap sonra açık pencereye dön,8,2,DEĞİŞTİR ; GEÇ,DEĞİŞTİR:ekran ölçeğini 125 yap ; GEÇ:açık pencereye dön,riskli_ifade | kontrol_gereken_label,1,ekran ölçeğini 125 yap ; açık pencereye dön,DEĞİŞTİR ; GEÇ,assistant_reviewed_no_change,True
CK-3746,44,temel_bilgisayar,bu uyarıyı kapatma önce ayrıntılarını göster,6,1,DİĞER,DİĞER:ayrıntılarını göster,riskli_ifade | kontrol_gereken_label,1,ayrıntılarını göster,DİĞER,assistant_reviewed_no_change,True
CK-3748,46,temel_bilgisayar,ayarlarda klavye bölümüne git tekrarlama hızını azalt,7,2,GİT ; AZALT,GİT:klavye bölümüne git ; AZALT:tekrarlama hızını azalt,riskli_ifade | kontrol_gereken_label,1,klavye bölümüne git ; tekrarlama hızını azalt,GİT ; AZALT,assistant_reviewed_no_change,True
CK-3749,47,temel_bilgisayar,pencereyi sağ kenara yasla ama tam ekran yapma,8,1,KAYDIR,KAYDIR:pencereyi sağ kenara yasla,riskli_ifade,1,pencereyi sağ kenara yasla,TAŞI,Pencere konumlandırma TAŞI.,True
CK-3750,48,temel_bilgisayar,şu açık listeyi aşağı indir en sondaki öğeyi göster,9,2,KAYDIR ; DİĞER,KAYDIR:açık listeyi aşağı indir ; DİĞER:en sondaki öğeyi göster,riskli_ifade | kontrol_gereken_label,1,açık listeyi aşağı indir ; en sondaki öğeyi göster,KAYDIR ; DİĞER,assistant_reviewed_no_change,True
CK-3751,49,temel_bilgisayar,bilgisayarı kapatma sadece oturumu kilitle,5,1,DİĞER,DİĞER:oturumu kilitle,riskli_ifade | kontrol_gereken_label,1,oturumu kilitle,DİĞER,assistant_reviewed_no_change,True
CK-3752,50,temel_bilgisayar,son kullandığım klasörü aç ve görünümü listeye çevir,8,2,AÇ ; DEĞİŞTİR,AÇ:kullandığım klasörü aç ; DEĞİŞTİR:görünümü listeye çevir,kontrol_gereken_label,1,son kullandığım klasörü aç ; görünümü listeye çevir,AÇ ; DEĞİŞTİR,Baştaki son belirteci segmente dahil edildi.,True
CK-3753,51,tarayıcı_internet,internet sayfasında arama kutusuna sınav takvimi yaz ama ilk sonuca basma,11,1,YAZ,YAZ:arama kutusuna sınav takvimi yaz,riskli_ifade,1,arama kutusuna sınav takvimi yaz,YAZ,assistant_reviewed_no_change,True
CK-3754,52,tarayıcı_internet,öbür sekmeye geç ve sayfanın başına dön,7,2,SEKME_DEĞİŞTİR ; GEÇ,SEKME_DEĞİŞTİR:öbür sekmeye geç ; GEÇ:sayfanın başına dön,kontrol_gereken_label,1,öbür sekmeye geç ; sayfanın başına dön,SEKME_DEĞİŞTİR ; KAYDIR,Sayfa başına dönme kaydırma/gezinme eylemi.,True
CK-3755,53,tarayıcı_internet,bu sekmeyi kapatma sadece yenile,5,1,YİNELE,YİNELE:yenile,riskli_ifade,1,yenile,YİNELE,assistant_reviewed_no_change,True
CK-3757,55,tarayıcı_internet,yeni sekme açmadan mevcut sayfada duyuru ara,7,1,ARA,ARA:mevcut sayfada duyuru ara,riskli_ifade,1,mevcut sayfada duyuru ara,ARA,assistant_reviewed_no_change,True
CK-3758,56,tarayıcı_internet,yanlış oldu geri dön önceki sayfaya git,7,2,GEÇ ; GİT,GEÇ:geri dön ; GİT:önceki sayfaya git,kontrol_gereken_label,1,geri dön önceki sayfaya git,GİT,Geri/önceki sayfa gezintisi tek GİT görevi.,True
CK-3759,57,tarayıcı_internet,sağdaki sekmeye değil soldaki sekmeye geç,6,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:soldaki sekmeye geç,riskli_ifade | kontrol_gereken_label,1,soldaki sekmeye geç,SEKME_DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3760,58,tarayıcı_internet,pdf açıldıysa dosyayı tekrar indirme klasörde göster,7,1,TIKLA,TIKLA:klasörde göster,riskli_ifade,1,klasörde göster,DİĞER,Klasörde göster DİĞER.,True
CK-3761,59,tarayıcı_internet,arama sonucundaki ikinci bağlantıya tıklamadan metnini seç,7,1,SEÇ,SEÇ:metnini seç,riskli_ifade,1,metnini seç,SEÇ,assistant_reviewed_no_change,True
CK-3762,60,tarayıcı_internet,sayfayı biraz aşağı kaydır formun devamı görünsün,7,2,KAYDIR ; DİĞER,KAYDIR:sayfayı biraz aşağı kaydır ; DİĞER:formun devamı görünsün,kontrol_gereken_label,1,sayfayı biraz aşağı kaydır,KAYDIR,Formun devamı görünsün açıklama olarak çıkarıldı.,True
CK-3763,61,tarayıcı_internet,bu siteyi yer imlerine ekle adını ders linkleri yap,9,2,YÜKLE ; YENİDEN_ADLANDIR,YÜKLE:yer imlerine ekle ; YENİDEN_ADLANDIR:adını ders linkleri yap,kontrol_gereken_label,1,yer imlerine ekle ; adını ders linkleri yap,KAYDET ; YENİDEN_ADLANDIR,"Yer imi ekleme kayıt, ad verme yeniden adlandırma.",True
CK-3765,63,tarayıcı_internet,indirme başlamadıysa düğmeye bir kez daha tıkla,7,1,TIKLA,TIKLA:düğmeye bir kez daha tıkla,riskli_ifade,1,düğmeye bir kez daha tıkla,TIKLA,assistant_reviewed_no_change,True
CK-3766,64,tarayıcı_internet,sekmeleri karıştırdım toplantı sekmesine dön,5,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:toplantı sekmesine dön,kontrol_gereken_label,1,toplantı sekmesine dön,SEKME_DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3767,65,tarayıcı_internet,açık sayfada iletişim kısmını ara ve oraya git,8,2,ARA ; GİT,ARA:iletişim kısmını ara ; GİT:oraya git,kontrol_gereken_label,1,iletişim kısmını ara ; oraya git,ARA ; GİT,assistant_reviewed_no_change,True
CK-3768,66,tarayıcı_internet,reklamı kapatma asıl sayfayı yenile,5,1,YİNELE,YİNELE:asıl sayfayı yenile,riskli_ifade,1,asıl sayfayı yenile,YİNELE,assistant_reviewed_no_change,True
CK-3769,67,tarayıcı_internet,dosyayı indir ama açılır pencere çıkarsa iptal etme,8,1,İNDİR,İNDİR:dosyayı indir,riskli_ifade,1,dosyayı indir,İNDİR,assistant_reviewed_no_change,True
CK-3770,68,tarayıcı_internet,tarayıcıda geçmişe girme sadece son kapatılan sekmeyi geri getir,9,1,DİĞER,DİĞER:son kapatılan sekmeyi geri getir,riskli_ifade | kontrol_gereken_label,1,son kapatılan sekmeyi geri getir,DİĞER,assistant_reviewed_no_change,True
CK-3771,69,tarayıcı_internet,sayfanın üstündeki menüyü göster ve başvurular kısmına geç,8,2,TIKLA ; GEÇ,TIKLA:sayfanın üstündeki menüyü göster ; GEÇ:başvurular kısmına geç,riskli_ifade | kontrol_gereken_label,1,sayfanın üstündeki menüyü göster ; başvurular kısmına geç,DİĞER ; GEÇ,Menüyü göster TIKLA değil DİĞER.,True
CK-3772,70,tarayıcı_internet,bu bağlantıyı açmadan yeni sekmede hazır beklet,7,2,SEKME_DEĞİŞTİR ; DİĞER,SEKME_DEĞİŞTİR:yeni sekmede ; DİĞER:hazır beklet,riskli_ifade | kontrol_gereken_label,1,yeni sekmede hazır beklet,DİĞER,Bağlantıyı açmadan hazır bekletme DİĞER.,True
CK-3773,71,tarayıcı_internet,arama alanına hata kodunu yaz enter basma,7,2,YAZ ; ENTER,YAZ:arama alanına hata kodunu yaz ; ENTER:enter basma,riskli_ifade,1,arama alanına hata kodunu yaz,YAZ,Enter basma olumsuzlandığı için çıkarıldı.,True
CK-3774,72,tarayıcı_internet,indirilen pdfin adını değiştirme sadece indirme klasöründe göster,8,1,TIKLA,TIKLA:indirme klasöründe göster,riskli_ifade,1,indirme klasöründe göster,DİĞER,Klasörde göster DİĞER.,True
CK-3776,74,tarayıcı_internet,önceki sekmeye dön ve aramayı tekrar yap,7,2,SEKME_DEĞİŞTİR ; YİNELE,SEKME_DEĞİŞTİR:önceki sekmeye dön ; YİNELE:aramayı tekrar yap,riskli_ifade | kontrol_gereken_label,1,önceki sekmeye dön ; aramayı tekrar yap,SEKME_DEĞİŞTİR ; YİNELE,assistant_reviewed_no_change,True
CK-3778,76,tarayıcı_internet,bu formu gönderme sadece taslakta bırak,6,1,BOŞLUK,BOŞLUK:bırak,riskli_ifade | kontrol_gereken_label,1,taslakta bırak,DİĞER,Taslakta bırakma DİĞER; BOŞLUK değil.,True
CK-3781,79,tarayıcı_internet,sayfanın en altına git gizlilik bağlantısını bul,7,2,GİT ; BUL,GİT:sayfanın en altına git ; BUL:gizlilik bağlantısını bul,kontrol_gereken_label,1,sayfanın en altına git ; gizlilik bağlantısını bul,GİT ; BUL,assistant_reviewed_no_change,True
CK-3782,80,tarayıcı_internet,indirme simgesine değil yanındaki ayrıntılar yazısına tıkla,7,1,TIKLA,TIKLA:yanındaki ayrıntılar yazısına tıkla,riskli_ifade,1,yanındaki ayrıntılar yazısına tıkla,TIKLA,assistant_reviewed_no_change,True
CK-3783,81,tarayıcı_internet,tarayıcıda açık olan üçüncü sekmeye geç,6,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:üçüncü sekmeye geç,kontrol_gereken_label,1,üçüncü sekmeye geç,SEKME_DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3784,82,tarayıcı_internet,bu sayfadaki sonuçları tarihe göre sırala,6,1,DİĞER,DİĞER:sonuçları tarihe göre sırala,kontrol_gereken_label,1,sonuçları tarihe göre sırala,DİĞER,assistant_reviewed_no_change,True
CK-3785,83,tarayıcı_internet,pdf görüntüleyicide sayfayı küçültme sadece sonraki sayfaya geç,8,1,GEÇ,GEÇ:sonraki sayfaya geç,kontrol_gereken_label,1,sonraki sayfaya geç,GEÇ,assistant_reviewed_no_change,True
CK-3786,84,tarayıcı_internet,arama önerilerini kapat ve yazdığım metni temizle,7,2,KAPAT ; SİL,KAPAT:arama önerilerini kapat ; SİL:yazdığım metni temizle,riskli_ifade,1,arama önerilerini kapat ; yazdığım metni temizle,KAPAT ; SİL,assistant_reviewed_no_change,True
CK-3787,85,tarayıcı_internet,bağlantıyı yeni pencerede değil aynı sekmede aç,7,1,AÇ,AÇ:aynı sekmede aç,riskli_ifade,1,aynı sekmede aç,AÇ,assistant_reviewed_no_change,True
CK-3789,87,tarayıcı_internet,açık sekmeleri listele ve içinde başvuru geçeni bul,8,2,DİĞER ; BUL,DİĞER:açık sekmeleri listele ; BUL:içinde başvuru geçeni bul,riskli_ifade | kontrol_gereken_label,1,açık sekmeleri listele ; içinde başvuru geçeni bul,DİĞER ; BUL,assistant_reviewed_no_change,True
CK-3792,90,tarayıcı_internet,web sayfasını yazdırma görünümüne getir ama yazdırma,7,3,DİĞER ; GEÇ ; DİĞER,DİĞER:web sayfasını yazdırma ; GEÇ:görünümüne ; DİĞER:getir,riskli_ifade | kontrol_gereken_label,1,web sayfasını yazdırma görünümüne getir,YAZDIR,Yazdırma görünümüne hazırlama YAZDIR olarak etiketlendi.,True
CK-3793,91,tarayıcı_internet,yanlış sayfa açıldı geri git ve aramayı yinele,8,2,GİT ; YİNELE,GİT:geri git ; YİNELE:aramayı yinele,riskli_ifade | kontrol_gereken_label,1,geri git ; aramayı yinele,GİT ; YİNELE,assistant_reviewed_no_change,True
CK-3795,93,tarayıcı_internet,ilk sonucu açma sadece bağlantıyı panoya kopyala,7,1,KOPYALA,KOPYALA:bağlantıyı panoya kopyala,riskli_ifade,1,bağlantıyı panoya kopyala,KOPYALA,assistant_reviewed_no_change,True
CK-3796,94,tarayıcı_internet,yeni sekmede açılan pdfi indir ve sekmeyi açık bırak,9,3,AÇ ; İNDİR ; DİĞER,AÇ:yeni sekmede açılan ; İNDİR:pdfi indir ; DİĞER:sekmeyi açık bırak,kontrol_gereken_label,1,pdfi indir ; sekmeyi açık bırak,İNDİR ; DİĞER,Yeni sekmede açılan bağlam; asıl görev indirme ve sekmeyi açık bırakma.,True
CK-3799,97,tarayıcı_internet,sekmeyi kapatmadan sol taraftaki haber sekmesine geç,7,1,SEKME_DEĞİŞTİR,SEKME_DEĞİŞTİR:sol taraftaki haber sekmesine geç,riskli_ifade | kontrol_gereken_label,1,sol taraftaki haber sekmesine geç,SEKME_DEĞİŞTİR,assistant_reviewed_no_change,True
CK-3800,98,tarayıcı_internet,adres çubuğuna odaklan eski adresi silmeden sonuna ekleme yap,9,2,SEÇ ; DİĞER,SEÇ:çubuğuna odaklan ; DİĞER:sonuna ekleme yap,riskli_ifade | kontrol_gereken_label,1,adres çubuğuna odaklan ; sonuna ekleme yap,GEÇ ; YAZ,"Adres çubuğuna odaklanma GEÇ, sonuna yazma YAZ.",True
CK-3801,99,tarayıcı_internet,indirme çubuğunu göster tamamlanan dosyayı klasörde aç,7,2,DİĞER ; AÇ,DİĞER:indirme çubuğunu göster ; AÇ:tamamlanan dosyayı klasörde aç,riskli_ifade | kontrol_gereken_label,1,indirme çubuğunu göster ; tamamlanan dosyayı klasörde aç,DİĞER ; AÇ,assistant_reviewed_no_change,True
CK-3802,100,tarayıcı_internet,sayfa donduysa yenile ama formdaki yazıları silme,7,1,YİNELE,YİNELE:yenile,riskli_ifade,1,yenile,YİNELE,assistant_reviewed_no_change,True
